dv,label,is_syco,mean,std,n,sem,ci95,study
repair_score,Repair likelihood,0,4.711666666666667,1.9220908681656894,400,0.09610454340828448,0.18836490508023757,study3
repair_score,Repair likelihood,1,4.223333333333333,1.8739474907251232,400,0.09369737453625616,0.18364685409106207,study3
return_likelihood,Return likelihood,0,4.7575,2.188760020208968,400,0.1094380010104484,0.21449848198047886,study3
return_likelihood,Return likelihood,1,5.365,1.7887913338593253,400,0.08943956669296627,0.17530155071821388,study3
response_quality,Response quality,0,5.3125,1.6237102072391891,400,0.08118551036195945,0.15912360030944053,study3
response_quality,Response quality,1,5.7775,1.1624853463382352,400,0.05812426731691176,0.11392356394114705,study3
rightorwrong,Rightness judgment,0,4.0825,1.7488109100178593,400,0.08744054550089296,0.1713834691817502,study3
rightorwrong,Rightness judgment,1,5.1175,1.5539403387650061,400,0.0776970169382503,0.1522861531989706,study3
performance_trust_score,Performance trust,0,5.318565400843882,1.6234541593943779,395,0.08168484369982956,0.16010229365166595,study3
performance_trust_score,Performance trust,1,5.745822890559733,1.1670031033636112,399,0.05842322990585449,0.1145095306154748,study3
moral_trust_score,Moral trust,0,5.157281144781145,1.8344368412170329,396,0.09218391975638884,0.18068048272252213,study3
moral_trust_score,Moral trust,1,5.6030303030303035,1.4423509166394282,396,0.07248086070482064,0.14206248698144847,study3
